sep=;
Question;Option A;Option B;Option C;Option D;Correct Answer
What is the primary requirement for an Random Bit Generator's (RBG) output to be used for generating cryptographic keys?;The RBG's output should have a length that matches the target data to be protected;The RBG's output should be computationally indistinguishable from random bits and provide sufficient entropy to support the security strength required for the target data;The RBG's output should be as long as possible to ensure maximal randomness;The RBG's output should have precisely the same length as the symmetric key to be generated;B
In cryptography, what is the purpose of using a key-derivation function (KDF)?;Generate public keys;Authenticate digital signatures;Encrypt data using a password;KDF are algorithms used to transform a secret into crucial parameters like keys and Initialization Vectors (IVs);D
What is the primary purpose of segmentation in the context of PCI DSS?;To reduce the number of PCI DSS requirements applicable to an entity;To limit the scope of the PCI DSS assessment and minimize the potential for security breaches;To completely remove the applicability of PCI DSS for a merchant's cardholder data environment;To eliminate the need for implementing PCI DSS controls;B
What is the purpose of using strong cryptography to protect cardholder data during transmission over open, public networks?;To ensure the data is secured from unauthorized access or interception during transmission;To increase the speed of data transmission over open, public networks;To provide access to authorized individuals to monitor the transmission process;To improve the efficiency of network routing protocols;A
What is the purpose of periodic reviews of user accounts and access privileges?;To ensure all user accounts have access to the highest privileges;To demonstrate adherence to regulatory requirements;To create a record of all user accounts;To identify and remove any inappropriate access and privileges;D
Which of the following is a purpose of having synchronized system clocks?;To compare log files from different systems;To accelerate system performance;To standardize file naming conventions;To reduce power consumption;A
What is physical security?;The protection of data from hacker attacks;The prevention of natural disasters caused by environmental factors;The act of securing a building or location to prevent unauthorized access, theft, or damage to physical assets;The enforcement of technical security controls to prevent data breaches;C
What does the abbreviation 'SDK' stand for in the context of software security?;Software Development Kit;System Deflection Key;Software Delegation Kernel;System Development Key;A
What is the main purpose of multi-factor authentication in cybersecurity?;To limit user privileges within the network;To ensure compliance with government regulations;To adds an extra layer of security by requiring multiple forms of verification;To monitor network traffic for security threats;C
What is the primary objective of a Web Application Firewall (WAF) in cybersecurity?;To encrypt network traffic between web servers;To prevent unauthorized access to network services;To protect web applications from security threats;To manage user authentication and authorization for web services;C
What is the purpose of periodically changing passwords or passphrases?;To provide more time for a malicious individual to crack the password/passphrase;To allow for more rapid detection and response to address potentially compromised credentials;To prevent unauthorized users from gaining access to the user account through use of a shared authentication factor;To offer less time for a malicious individual to crack a password/passphrase and less time to use a compromised password;D
Which of the following defines the entity’s security objectives and principles?;Security policies;Operational procedures;Risk assessment framework;Incident response plan;A
What is the focus of a security audit or vulnerability assessment?;Locating vulnerabilities;Locating threats;Enacting threats;Exploiting vulnerabilities;A
Which of the following is a mechanism for managing digital certificates through a system of trust?;PKI;PKCS;ISA;SSL;A
Which protocol is used to create a secure environment in a wireless network?;WAP;WPA2;WTLS;WML3;B
Which design concept limits access to systems from outside users while protecting users and systems inside the LAN?;DMZ;VLAN;I&A;Router;A
What is the process of making an operating system secure from attack called?;Hardening;Tuning;Sealing;Locking down;A
Which mechanism is used by PKI to allow immediate verification of a certificate's validity?;CRL;MD5;SSHA;OCSP;D
Which of the following is a major security problem with FTP?;Password files are stored in an unsecure area on disk;Memory traces can corrupt file access;User IDs and passwords are unencrypted;FTP sites are unregistered;C
Which of the following creates a fixed-length output from a variable-length input?;MD5;SHA1;SHA3;All of the above;D
What is the purpose of a service-level agreement (SLA) in the context of business continuity?;To define the obligations of the service provider to the client;To provide high-availability architecture;To outline a disaster recovery plan;To ensure the fault tolerance of systems;A
